『你们中间若有缺少智慧的，应当求那厚赐与众人、也不斥责人的神，主就必赐给他』	（雅1：5）
『凡属基督耶稣的人，是已经把肉体连肉体的邪情私欲同钉在十字架上了』	（加5：24）
『你们中间谁有一百只羊失去一只，不把这九十九只撇在旷野、去找那失去的羊，直到找著呢？』	（路15：4）
『不是我们爱神，乃是神爱我们』	（约壹4：10）
『你们将薄荷、茴香、芹菜，『献』上十分之一』	（太23：23）
『他叫我们能承当这新约的执事，不是凭著字句，乃是凭著精意；因为那字句是叫人死，精意是叫人活』	（林后3：6）
『地上所有的，无论是地上的种子是树上的果子，十分之一是耶和华的，是归给耶和华为圣的』	（利27：30）
『各人要随本心所酌定的，不要作难，不要勉强，因为捐得乐意的人是神所喜爱的』	（林后9：7）
『我们没有一个人为自己活，也没有一个人为自己死。我们若活著，是为主而活；若死了，是为主而死。所以，我们或活或死总是主的人』	（罗14：8）
『叫那些活著的人不再为自己活，乃为替他们死而复活的主活』	（林后5：15）
『捐得乐意的人是神所喜爱的』	（林后9：7）
『耶和华说：你们所献的许多祭物与我何益呢？公绵羊的燔祭和肥畜的脂油，我已经够了；公牛的血，羊羔的血，公山羊的血，我都不喜悦』	（赛1：11）
『从示巴出的乳香，从远方出的菖蒲奉来给我有何益呢？你们的燔祭不蒙悦纳；你们的平安祭，我也不喜悦』	（耶6：20）
『你们虽然向我献燔祭和素祭，我却不悦纳，也不顾你们用肥畜献的平安祭』	（摩5：20）
『我朝见耶和华，在至高神面前跪拜，当献上甚么呢？、、、耶和华岂喜悦千千的公羊，或是万万的油河吗？』	（弥6：6-7）
『我喜爱良善，不喜爱祭祀；喜爱认识神，胜于燔祭』	（何6：6）
『你们要将当纳的十分之一全然送入仓库，使我家有粮，以此试试我，是否为你们敞开天上的窗户，倾福与你们，甚至无处可容』	（玛3：10）
『以利沙祷告说：耶和华啊，求你开这少年人的眼目，使他能看见。耶和华开他的眼目，他就看见满山有火车火马围绕以利沙』	（王下6：17）
『只要写信，吩咐他们禁戒偶像的污秽和奸淫，并勒死的牲畜和血』	（徒15：20）
『凡为我、、、撇下、、、，没有不在今世得百倍』	（太19：29）
『这不是说我已经得著了，已经完全了；我乃是竭力追求，或者可以得著基督耶稣所以得著我的』	（腓3：12）
『在祷告之间常常恳求，或者照神的旨意，终能得平坦的道路往你们那里去』	（罗1：10）
『大卫在世的时候遵行了神的旨意，就睡了。或作：大卫按神的旨意服事了他那一世的人，就睡了』	（徒13：36）
『在主里面而死的人有福了！圣灵说：是的，他们息了自己的劳苦』	（启14：13）
『我向一切听见这书上预言的作见证，若有人在这预言上加添甚么，神必将写在这书上的灾祸加在他身上』	（启22：18）
『我先前以为与我有益的，我现在因基督都当作有损的』	（腓3：7）
『我为他已经丢弃万事，看作粪土，为要得著基督』	（腓3：8）
『我们没有一个人为自己活』	（罗14：7）
『我们若活著，是为主而活』	（罗14：8）
『他替众人死，是叫那些活著的人不再为自己活，乃为替他们死而复活的主活』	（林后5：15）
『不爱他所看见的弟兄，怎能爱没有看见的神呢』	（约壹4：20）
『你们要靠著主，倚赖他的大能大力作刚强的人』	（弗6：10）
『软弱变为刚强』	（来11：34）
『不可忘记用爱心接待客旅；因为曾有接待客旅的，不知不觉就接待了天使』	（来13：2）
『你们在世上的众弟兄也是经历这样的苦难』	（彼前5：9）
『等你们暂受苦难之后，必要亲自成全你们，坚固你们，赐力量给你们』	（彼前5：10）
『我将这些事告诉你们，是要叫你们在我里面有平安』	（约16：33）
『我就是必须和你同死，也总不能不认你』	（太26：35）
『众人虽然为你的缘故跌倒，我却永不跌倒』	（太26：33）
『神啊，我感谢你，我不像别人勒索、不义、奸淫，也不像这个税吏。我一个礼拜禁食两次，凡我所得的都捐上十分之一』	（路18：12）
『凡有血气的，没有一人因行律法称义』	（加2：16）
『凡以行律法为本的，都是被咒诅的；因为经上记著：凡不常照律法书上所记一切之事去行的，就被咒诅』	（加3：10）
『恨不得那些人把自己割绝了』	（加5：12）
『但我已经为你祈求，叫你不至于失了信心，你回头以后，要坚固你的弟兄』	（路22：32）
『但无论是我们，是天上来的使者，若传福音给你们，与我们所传给你们的不同，他就应当被咒诅』	（加1：8）
『主啊！离开我，我是个罪人！』	（路5：8）
『从今以后，在主里面而死的人有福了！圣灵说：是的，他们息了自己的劳苦，作工的果效也随著他们』	（启14：13）
『一粒麦子不落在地里死了，仍旧是一粒，若是死了，就结出许多子粒来』	（约12：24）
『你这论断人的，无论你是谁，也无可推诿。你在甚么事上论断人，就在甚么事上定自己的罪；因你这论断人的，自己所行却和别人一样』	（罗2：1）
『因为那不怜悯人的，也要受无怜悯的审判；怜悯原是向审判夸胜』	（雅2：13）
『你这人哪，你论断行这样事的人，自己所行的却和别人一样，你以为能逃脱神的审判吗？』	（罗2：3）
『有些人你们要从火中抢出来，搭救他们；有些人你们要存惧怕的心怜悯他们』	（犹1：23）
『然而我们到了什么地步，就当照著什么地步行』	（腓3：16）
『然而不要照我的意思，只要照你	（上帝）的意思』	（太26：39）
『得赦免其过、遮盖其罪的，这人是有福的』	（罗4：7）
『忍受了十字架的苦难』	（来12：2）
『弟兄们，我还有未尽的话：凡是真实的、可敬的、公义的、清洁的、可爱的、有美名的，若有甚么德行，若有甚么称赞，这些事你们都要思念。』	（腓4：8）
『又要将祂丰盛的荣耀彰显在那蒙怜悯、早预备得荣耀的器皿上』	（罗9：23）
『因为耶和华神是日头，是盾牌，要赐下恩惠和荣耀。祂未尝留下一样好处不给那些行动正直的人』	（诗84：11）
『愿她享受操作所得的；愿她的工作在城门口荣耀她』	（箴31：31）
『教导的，未来要受更重的审判』	（雅3：1意译）
『监督既是神的管家』	（多1：7）
『	（庇哩亚）这地方的人贤于帖撒罗尼迦的人，甘心领受这道，天天考查圣经，要晓得这道是与不是』	（徒17：11）
『人若立志遵著祂的旨意行，就必晓得这教训或是出于神，或是我凭著自己说的』	（约7：17）
『按著圣灵所赐的口才说起别国的话来』	（徒2：4）
『那说方言的，原不是对人说，乃是对神说，因为没有人听出来。然而，他在心灵里却是讲说各样的奥秘』	（林前14：2）
『审判教外的人与我何干？教内的人岂不是你们审判的吗？』	（林前5：12）
『难道在埃及没有坟地，你把我们带来死在旷野吗？』	（出14：11）
『你们不要被那诸般怪异的教训勾引了去；因为人心靠恩得坚固才是好的』	（来13：9）
『耶和华啊，早晨你必听我的声音；早晨我必向你陈明我的心意，并要警醒』	（诗5：3）
『有兴起重修这耶利哥城的人，当在耶和华面前受咒诅。他立根基的时候，必丧长子，安门的时候，必丧幼子』	（书6：26）
『耶稣过去的时候，看见一个人生来是瞎眼的。门徒问耶稣说：「拉比，这人生来是瞎眼的，是谁犯了罪？是这人呢？是他父母呢？」耶稣回答说：「也不是这人犯了罪，也不是他父母犯了罪，是要在他身上显出神的作为来。」』	（约9：1-3）
『信子的人有永生；不信子的人得不著永生，神的震怒常在他身上』	（约3：36）
『神的忿怒从天上显明在一切不虔不义的人身上』	（罗1：18）
『乃是照他所有的，并不是照他所无的』	（林后8：12）
『六日要做工，第七日是圣安息日，当有圣会』	（利23：3）
『有一个财主穿著紫色袍和细麻布衣服，天天奢华宴乐』	（路16：19）
『耶稣转过来，对彼得说：撒但，退我后边去吧！你是绊我脚的；因为你不体贴神的意思，只体贴人的意思。』	（太16：23）
『亲爱的弟兄啊，一切的灵，你们不可都信，总要试验那些灵是出于神的不是，因为世上有许多假先知已经出来了。』	（约壹4：1）
『时候将到，凡杀你们的就以为是事奉神』	（约16：2）
『你们要记念我从前对你们所说的话：仆人不能大于主人。他们若逼迫了我，也要逼迫你们；若遵守了我的话，也要遵守你们的话』	（约15：20）
『心中的苦楚，自己知道；心里的喜乐，外人无干』	（箴14：10）
『船上的人彼此说：「来吧，我们掣签，看看这灾临到我们是因谁的缘故。」于是他们掣签，掣出约拿来』	（拿1：7）
『犹大就、、、出去吊死了』	（太27：5）
『耶稣说：「你去照样行吧。」』	（路10：37）
『耶稣便对他说：「你所做的，快做吧！」』	（约13：27）
『人若立志遵著上帝的旨意行，就必晓得这教训或是出于神，或是我凭著自己说的』	（约7：17）
『你们中间有病了的呢，他就该请教会的长老来；他们可以奉主的名用油抹他，为他祷告』	（雅5：14）
『给人行按手的礼，不可急促』	（提前5：22）
『在你一生虚空的年日，就是神赐你在日光之下虚空的年日，当同你所爱的妻，快活度日，因为那是你生前在日光之下劳碌的事上所得的分。』	（传9：9）
『大卫在世行完了神的旨意，就睡了』	（徒13：36）
『我将你主人的家业赐给你，将你主人的妻交在你怀里，又将以色列和犹大家赐给你；你若还以为不足，我早就加倍地赐给你。』	（撒下12：8）
『你们	（法利赛人）是出于你们的父魔鬼』	（约8：44）
『在此并不分希腊人、犹太人，受割礼的、未受割礼的，化外人、西古提人，为奴的、自主的，惟有基督是包括一切，又住在各人之内』	（西3：11）
『说方言的，若不翻出来，使教会被造就，那作先知讲道的，就比他强了。』	（林前14：5）
『命上加命，令上加令，律上加律，例上加例，这里一点，那里一点』	（赛28：10）
『所吩咐你们的话，你们不可加添，也不可删减，好叫你们遵守我所吩咐的，就是耶和华你们神的命令』	（申4：2）
『凡我所吩咐的，你们都要谨守遵行，不可加添，也不可删减』	（申12：32）
『他的言语，你不可加添，恐怕他责备你，你就显为说谎言的』	（箴30：6）
『耶稣出去，上山祷告，整夜祷告神』	（路6：12）
『我是你们的主，你们的夫子，尚且洗你们的脚，你们也当彼此洗脚』	（约13：14）
『圣徒缺乏，要帮补』	（罗12：13）
『 人心靠恩得坚固才是好的，并不是靠饮食。那在饮食上专心的从来没有得著益处』	（来13：9）
『我知道怎样处卑贱，也知道怎样处丰富；或饱足，或饥饿；或有余，或缺乏，随事随在，我都得了秘诀』	（腓4：12）
『懒惰人哪，你去察看蚂蚁的动作就可得智慧。蚂蚁没有元帅，没有官长，没有君王，尚且在夏天预备食物，在收割时聚敛粮食』	（箴6：6-8）
『人人吃喝，在他一切劳碌中享福，这也是神的恩赐』	（传3：13）
『凡神所造的物都是好的，若感谢著领受，就没有一样可弃的』	（提前4：4）
『耶和华以色列的神斥责那些牧养他百姓的牧人，如此说：你们、、、、并没有看顾他们；我必讨你们这行恶的罪。这是耶和华说的』	（耶23：2）
『必须在教外有好名声，恐怕被人毁谤，落在魔鬼的网罗里』	（提前3：7）
『有谁当兵自备粮饷呢？有谁栽葡萄园不吃园里的果子呢？有谁牧养牛羊不吃牛羊的奶呢？』	（林前9：7）
『……传福音的时候叫人不花钱得福音，免得用尽我传福音的权柄。』	（林前9：18）
『若有人见你、、、在偶像的庙里坐席，这人的良心若是软弱，岂不放胆去吃那祭偶像之物吗？』	（林前8：10）
『她跟随保罗和我们，喊著说：「这些人是至高　神的仆人，对你们传说救人的道。」』	（徒16：17）
『她一连多日这样喊叫，保罗就心中厌烦，转身对那鬼说：「我奉耶稣基督的名，吩咐你从她身上出来！」那鬼当时就出来了』	（徒16：18）
『向甚么样的人，我就作甚么样的人。无论如何，总要救些人』	（林前9：22）
『耶和华你神所要交给你的一切人民，你要将他们除灭；你眼不可顾惜他们』	（申7：16）
『这些人是至高神的仆人，对你们传说救人的道』	（徒16：17）
『 也知道那自称是犹太人所说的毁谤话，其实他们不是犹太人，乃是撒但一会的人』	（启2：9）
『那撒但一会的，自称是犹太人，其实不是犹太人，乃是说谎话的』	（启3：9）
『人称义是因著信，不在乎遵行律法』	（罗3：28）
『人称义不是因行律法，乃是因信耶稣基督，连我们也信了基督耶稣，使我们因信基督称义，不因行律法称义；因为凡有血气的，没有一人因行律法称义』	（加2：16）
『怜悯贫穷的，就是借给耶和华』	（箴19：17）
『小子们哪，我们相爱，不要只在言语和舌头上，总要在行为和诚实上』	（约一3：18）
『除了耶和华，谁是神呢？』	（诗18：31）
『除了我以外，再没有神；、、、除了我以外，再没有别神。』	（赛45：21）
『你们走遍洋海陆地，勾引一个人入教，既入了教，却使他作地狱之子，比你们还加倍。』	（太23：15）
『他既来了，就要叫世人为罪、为义、为审判，自己责备自己』	（约16：8）
『神阻挡骄傲的人、赐恩给谦卑的人。』 	（雅４：６）
『乃要均平，就是要你们的富余，现在可以补他们的不足，使他们的富余，将来也可以补你们的不足，这就均平了』	（林后8：14）
『主也是这样命定，叫传福音的靠著福音养生』	（林前9：14）
『若有疑心而吃的，就必有罪，因为他吃不是出于信心』	（罗14：23）
『他们将人的吩咐当作道理教导人，所以拜我也是枉然』	（太15：9）
『他被提到乐园里，听见隐秘的言语，是人不可说的』	（林后12：4）
『不知道别的，只知道耶稣基督并祂钉十字架』	（林前２：２）
『因为假基督、假先知、将要起来、显大神迹、大奇事．倘若能行、连选民也就迷惑了。』	（太２４：２４）
『保惠师，就是父因我的名所要差来的圣灵，、、、要叫你们想起我对你们所说的一切话』	（约14：26）
『惟有能把身体和灵魂都灭在地狱里的，正要怕他』	（太10：28）
『我要指示你们当怕的是谁：当怕那杀了以后又有权柄丢在地狱里的』	（路12：5）
『就是天使犯了罪，神也没有宽容，曾把他们丢在地狱』	（彼后2：4）
『那迷惑他们的魔鬼被扔在硫磺的火湖里，就是兽和假先知所在的地方。他们必昼夜受痛苦，直到永永远远』	（启20：10）
『大龙就是那古蛇，名叫魔鬼，又叫撒但，是迷惑普天下的。牠被摔在地上，牠的使者也一同被摔下去。』	（启12：9）
『污鬼离了人身，就在无水之地过来过去』	（太12：43）
『你们不要怕它	（偶像）；它不能降祸，也无力降福』	（耶10：5）
『先知的罪孽和求问之人的罪孽都是一样』	（结14：10）
『人若得罪人，有士师审判他；人若得罪耶和华，谁能为他祈求呢？』	（撒上2：25）
『已有的事后必再有，已行的事后必再行，日光之下并无新事。』	（传道书1：9）
『并且被建造在使徒和先知的根基上，有基督耶稣自己为房角石』	（弗2：20）
『耶和华神说：那人独居不好，我要为他造一个配偶帮助他』	（创2：18）
『智慧之子，总以智慧为是』	（太11：19）
『主的灵在我身上，因为他用膏膏我，叫我传福音给贫穷的人；差遣我报告：被掳的得释放，瞎眼的得看见，叫那受压制的得自由』	（太4：18）
『我且照著人的常话说，我们的不义若显出神的义来，我们可以怎么说呢？神降怒，是他不义吗？ 断乎不是！若是这样，神怎能审判世界呢？ 若神的真实，因我的虚谎越发显出祂的荣耀，为什么我还受审判，好像罪人呢？ 为什么不说，我们可以作恶以成善呢？…。』	（罗3：5-8）
『耶和华岂有难成的事吗？到了日期，明年这时候，我必回到你这里，撒拉必生一个儿子。』	（创18：14）
『主耶和华啊，你曾用大能和伸出来的膀臂创造天地，在你没有难成的事。』	（耶32：17）
『都是偏离正路，一同变为无用。没有行善的，连一个也没有』	（罗3：12）
『所以凡有血气的，没有一个因行律法能在神面前称义。』	（罗3：20）
『你们不可停止聚会，好像那些停止惯了的人，倒要彼此劝勉』	（来10：25）
『如此，这二少年人的罪在耶和华面前甚重了，因为他们藐视耶和华的祭物	（或译：他们使人厌弃给耶和华献祭）』	（撒上2：17）
『他们还是不听父亲的话，因为耶和华想要杀他们』	（撒上2：25）
『比撒列和亚何利亚伯，并一切心里有智慧的，就是蒙耶和华赐智慧聪明、叫他知道做圣所各样使用之工的』	（出36：1）
『『如此，这二少年人的罪在耶和华面前甚重了，因为他们使人厌弃给耶和华献祭』	（撒上2：17）
『若有外人寄居在你们中间，愿向耶和华守逾越节，他所有的男子务要受割礼，然后才容他前来遵守，他也就像本地人一样；但未受割礼的，都不可吃这羊羔』	（出12：48）
『要警戒不守规矩的人』	（帖前5：14）
『弟兄们，我们奉主耶稣基督的名吩咐你们，凡有弟兄不按规矩而行，不遵守从我们所受的教训，就当远离他』	（帖后3：6）
『我若将所有的赒济穷人，又舍己身叫人焚烧，却没有爱，仍然与我无益』	（林前13：3）
『如今我把你们交托　神和他恩惠的道；这道能建立你们』	（徒20：32）
『他像移植溪水边的果树，按季节结果子，叶子也不凋零。他所做的事样样顺利』	（诗1：3）
『XX要像一棵树栽在溪水旁，按时候结果子，叶子也不枯干。凡XX所做的尽都顺利』	（诗1：3）
『XX不从恶人的计谋，不站罪人的道路，不坐亵慢人的座位，惟喜爱耶和华的律法，昼夜思想，XX便为有福』	（诗1：1-2）
『XX为朋友祈祷。耶和华就使XX从苦境转回，并且耶和华赐给XX的比XX从前所有的加倍』	（伯42：10）
『你们从前住的埃及地，那里人的行为，你们不可效法，我要领你们到的迦南地，那里人的行为也不可效法，也不可照他们的恶俗行』	（利18：3）
『大卫按　神的旨意服事了他那一世的人，就睡了』	（徒13：36）
『要叫他们的心得安慰，因爱心互相联络，以致丰丰足足在悟性中有充足的信心，使他们真知神的奥秘，就是基督；所积蓄的一切智慧知识，都在他里面藏著。我说这话，免得有人用花言巧语迷惑你们』	（西2：2-4）
『我没有打发那些先知，他们竟自奔跑；我没有对他们说话，他们竟自预言』	（耶23：21）
『耶和华说：「那些以幻梦为预言，又述说这梦，以谎言和矜夸使我百姓走错了路的，我必与他们反对。我没有打发他们，也没有吩咐他们。他们与这百姓毫无益处。这是耶和华说的。」』	（耶23：32）
『凡使这信我的一个小子跌倒的，倒不如把大磨石拴在这人的颈项上，沉在深海里』	（太18：6）
『污鬼无论何时看见他，就俯伏在他面前，喊著说：你是神的儿子。』	（可3：11）
『你信神只有一位，你信的不错；鬼魔也信』	（雅2：19）
『人当以训诲和法度为标准。他们所说的，若不与此相符，必不得见晨光』	（赛8：20）
『耶稣基督，昨日、今日、一直到永远、是一样的』	（来13：8）
『我所做的事，信我的人也要做，并且要做比这更大的事』	（约14：12）
『我祖亚伯拉罕哪，不是的，若有一个从死里复活的，到他们那里去的，他们必要悔改。』	（路16：30）
『若不听从摩西和先知的话，就是有一个从死里复活的，他们也是不听劝』	（路16：31）
『主又说：西门！西门！撒但想要得著你们，好筛你们像筛麦子一样』	（路22：31）
『务要传道，无论得时不得时』	（提后4：2）
『你们在外邦人中，应当品行端正，叫那些毁谤你们是作恶的，因看见你们的好行为，便在鉴察的日子归荣耀给　神』	（彼前2：12）
『买他们的宰了他们，以自己为无罪；卖他们的说：『耶和华是应当称颂的，因我成为富足。』	（亚11：5）
『坚守所教真实的道理，就能将纯正的教训劝化人，又能把争辩的人驳倒了』	（多1：9）
『司提反是以智慧和圣灵说话，众人敌挡不住』	（徒6：10）
『以色列人虽多如海沙，得救的不过是剩下的余数』	（罗9：27）
『女人见那棵树的果子好作食物，也悦人的眼目，且是可喜爱的，能使人有智慧，就摘下果子来吃了，又给她丈夫，她丈夫也吃了』	（创3：6）
『女人对蛇说：「园中树上的果子，我们可以吃，惟有园当中那棵树上的果子，神曾说：『你们不可吃，也不可摸，免得你们死。』」	（创3：3）
『不要自欺，神是轻慢不得的』	（加6：7）
『你若是神的儿子，可以跳下去，因为经上记著说：主要为你吩咐他的使者用手托著你，免得你的脚碰在石头上。』	（太4：6）
『耶稣对他说：经上又记著说：『不可试探主你的神。』』	（太4：7）
『但那些想要发财的人，就陷在迷惑、落在网罗和许多无知有害的私欲里，叫人沉在败坏和灭亡中』	（提前6：9）
『羊不跟著生人，因为不认得他的声音，必要逃跑』	（约10：5）
『你们当站在路上察看，访问古道，哪是善道，便行在其间；这样，你们心里必得安息』	（耶6：16）
『耶和华对约伯说话以后，就对提幔人以利法说：我的怒气向你和你两个朋友发作，因为你们议论我不如我的仆人约伯说的是』	（伯42：7）
『现在你们要取七只公牛，七只公羊，到我仆人约伯那里去，为自己献上燔祭，我的仆人约伯就为你们祈祷。我因悦纳他，就不按你们的愚妄办你们。你们议论我，不如我的仆人约伯说的是』	（伯42：8）
『耶和华闻那馨香之气，就心里说：我不再因人的缘故咒诅地，也不再按著我才行的灭各种的活物了』	（创8：21）
『我与你们立约，凡有血肉的，不再被洪水灭绝，也不再有洪水毁坏地了。』	（创9：11）
『我便记念我与你们和各样有血肉的活物所立的约，水就再不泛滥、毁坏一切有血肉的物了』	（创9：15）
『耶和华要用痨病、热病、火症、疟疾、刀剑、旱风	（或作：干旱）、霉烂攻击你』	（申28：22）
『国中若有饥荒、瘟疫、旱风、霉烂、蝗虫、蚂蚱，或有仇敌犯境围困城邑』	（王上8：37）
『耶和华论到干旱之灾的话临到耶利米』	（耶14：1）
『必有无数的军兵势如洪水』	（但11：22）
『北方王必用战车、马兵，和许多战船，势如暴风来攻击他，也必进入列国，如洪水泛滥』	（但11：40）
『神啊，求你救我！因为众水要淹没我』	（诗69：1）
『求你不容大水漫过我，不容深渊吞灭我』	（诗69：15）
『主耶和华如此说：推罗啊，我使你变为荒凉，如无人居住的城邑；又使深水漫过你，大水淹没你』	（结26：19）
『他必以涨溢的洪水淹没尼尼微』	（鸿1：8）
『河闸开放，宫殿冲没』	（鸿2：6）
『新娶妻之人不可从军出征，也不可托他办理甚么公事，可以在家清闲一年，使他所娶的妻快活』	（申24：5）
『你的父亲岂不是也吃也喝、也施行公平和公义吗？那时他得了福乐。』	（耶22：15）
『耶稣说：由她吧！她是为我安葬之日存留的。』	（约12：7）
『为甚么难为这女人呢？他在我身上做的是一件美事。』	（太26：10）
『我实在告诉你们，普天之下，无论在甚么地方传这福音，也要述说这女人所行的，作个纪念』	（太26：13）
『你们这假冒为善的文士和法利赛人有祸了！因为你们将薄荷、茴香、芹菜，献上十分之一，那律法上更重的事，就是公义、怜悯、信实，反倒不行了。这更重的是你们当行的；那也是不可不行的。』	（太23：23）
『你们为甚么不明白我的话呢？无非是因你们不能听我的道』	（约8：43）
『凡管教的事，当时不觉得快乐，反觉得愁苦；后来却为那经练过的人结出平安的果子，就是义。』	（来12：11）
『你们当负我的轭，学我的样式』	（太11：29）
『效法基督耶稣』	（罗15：5）
『你们蒙召原是为此；因基督也为你们受过苦，给你们留下榜样，叫你们跟随他的脚踪行』	（彼前2：21）
『我赤身出于母胎，也必赤身归回；赏赐的是耶和华，收取的也是耶和华。耶和华的名是应当称颂的』	（伯1：21）
『不可贪恋人的房屋；也不可贪恋人的妻子、仆婢、牛驴，并他一切所有的』	（出20：17）
『人子啊，你往以色列家那里去，将我的话对他们讲说。你奉差遣不是往那说话深奥、言语难懂的民那里去，乃是往以色列家去；不是往那说话深奥、言语难懂的多国去，他们的话语是你不懂得的。我若差你往他们那里去，他们必听从你。以色列家却不肯听从你，因为他们不肯听从我』	（结3：4-7）
『惟有神的恩赐，在我们的主基督耶稣里，乃是永生』	（罗6：23）
『上帝是轻慢不得的』	（加6：7）
『他们是瞎眼领路的；若是瞎子领瞎子，两个人都要掉在坑里』	（太15：14）
『神既在古时藉著众先知多次多方的晓谕列祖，就在这末世藉著他儿子晓谕我们』	（来1：1-2）
『如今在这末世显现一次，把自己献为祭，好除掉罪』	（来9：26）
『你们在这末世只知积儹钱财』	（雅5：3）
『小子们哪，如今是末时了。你们曾听见说，那敌基督的要来；现在已经有好些敌基督的出来了，从此我们就知道如今是末时了』	（约壹2：18）
『那日子，那时辰，没有人知道，连天上的使者也不知道，子也不知道，惟独父知道』	（太24：36）
『所以，你们要儆醒；因为那日子，那时辰，你们不知道』	（太25：13）
『我告诉你们，从今以后，我不再喝这葡萄汁，直到我在我父的国里同你们喝新的那日子』	（太26：29）
『你们要谨慎，恐怕因贪食、醉酒，并今生的思虑累住你们的心，那日子就如同网罗忽然临到你们』	（路21：34）
『各人的工程必然显露，因为那日子要将它表明出来，有火发现；这火要试验各人的工程怎』	（林前3：13）
『弟兄们，你们却不在黑暗里，叫那日子临到你们像贼一样』	（帖前5：14）
『这正是主降临、要在他圣徒的身上得荣耀，又在一切信的人身上显为希奇的那日子』	（帖后1：11）
『人不拘用甚么法子，你们总不要被他诱惑；因为那日子以前，必有离道反教的事，并有那大罪人，就是沉沦之子，显露出来』	（帖后2：3）
『你们不可停止聚会，好像那些停止惯了的人，倒要彼此劝勉，既知道那日子临近，就更当如此』	（来10：25）
『哀哉！耶和华的日子临近了。这日来到，好像毁灭从全能者来到』	（珥1：15）
『耶和华的日子大而可畏，谁能当得起呢？』	（珥2：11）
『你们要记念我从前对你们所说的话：仆人不能大于主人。他们若逼迫了我，也要逼迫你们』	（约15：20）
『不好拿儿女的饼丢给狗吃』	（太15：26）
『他们就都被圣灵充满，按著圣灵所赐的口才说起别国的话来。』	（徒2：4）
『各人听见门徒用众人的乡谈说话』	（徒2：6）
『五旬节到了，门徒都聚集在一处。忽然，从天上有响声下来，好像一阵大风吹过，充满了他们所坐的屋子，又有舌头如火焰显现出来，分开落在他们各人头上。他们就都被圣灵充满』	（徒2：1-4）
『耶稣回答说：你们不知道所求的是甚么』	（太20：22）
『我将要喝的杯，你们能喝么？他们说：我们能』	（太20：22）
『耶稣说：我所喝的杯，你们必要喝；只是坐在我的左右，不是我可以赐的，乃是我父为谁预备的，就赐给谁』	（太20：23）
『你们得不著，是因为你们不求』	（雅4：3）
『你们求也得不著，是因为你们妄求』	（雅4：4）
『因你胃口不清，屡次患病，再不要照常喝水，可以稍微用点酒』	（提前5：23）
『你要享大寿数，平平安安地归到你列祖那里，被人埋葬』	（创15：15）
『耶洗别必在耶斯列田里被狗所吃，无人葬埋』	（王下9：10）
『听他们	（假先知）说预言的百姓必因饥荒刀剑抛在耶路撒冷的街道上，无人葬埋。他们连妻子带儿女，都是如此。我必使他们罪恶的报应临到他们身上』	（耶14：16）
『他们必死得甚苦，无人哀哭，必不得葬埋』	（耶16：4）
『我主请听。值四百舍客勒银子的一块田，在你我中间还算甚么呢？只管埋葬你的死人吧！』	（创23：15）
『我便向我叔叔的儿子哈拿篾买了亚拿突的那块地，平了十七舍客勒银子给他』	（耶32：9）
『摩西把约瑟的骸骨一同带去』	（出13：19）
『以色列人从埃及所带来约瑟的骸骨，葬埋在示剑，就是在雅各从前用一百块银子向示剑的父亲、哈抹的子孙所买的那块地里；这就作了约瑟子孙的产业』	（书24：32）
『以色列人在摩押平原为摩西哀哭了三十日，为摩西居丧哀哭的日子就满了』	（申34：8）
『撒母耳死了，以色列众人聚集，为他哀哭，将他葬在拉玛他自己的坟墓里』	（撒上25：1）
『有虔诚的人把司提反埋葬了，为他捶胸大哭』	（徒8：2）
『从前在百姓中有假先知起来，将来在你们中间也必有假师傅，私自引进陷害人的异端』	（彼后2：1）
『你们要防备假先知。他们到你们这里来，外面披著羊皮，里面却是残暴的狼』	（太7：15）
『就是一切不从那教训、不晓得他们素常所说撒但深奥之理的人』	（启2：24）
『我所祷告的，就是要你们的爱心在知识和各样见识上多而又多』	（腓1：9）
『你们要分外地殷勤；有了信心，又要加上德行；有了德行，又要加上知识』	（彼后1：5）
『你们却要在我们主救主耶稣基督的恩典和知识上有长进』	（彼后3：18）
『我愿意你们在善上聪明，在恶上愚拙』	（罗16：19）
『主耶稣啊，我愿你来！』	（启22：20）
『使他儿子	（耶稣基督）在许多弟兄	（信徒）中作长子』	（罗8：29）
『以后我不再称你们为仆人，因仆人不知道主人所做的事。我	（耶稣基督）乃称你们	（信徒）为朋友』	（约15：15）
『奉父、子、圣灵的名给他们施洗』	（太28：19）
『你们若遵行我所吩咐的，就是我的朋友了』	（约15：14）
『因为他预先所知道的人，就预先定下效法他儿子的模样，使他儿子在许多弟兄中作长子』	（罗8：29）
『他们就聚集在米斯巴，打水浇在耶和华面前，当日禁食，说：我们得罪了耶和华』	（撒上7：6）
『我听见这话，就坐下哭泣，悲哀几日，在天上的神面前禁食祈祷，、、、承认我们以色列人向你所犯的罪』	（尼1：4、6）
『这月二十四日，以色列人聚集禁食，身穿麻衣，头蒙灰尘。、、、站著承认自己的罪恶和列祖的罪孽』	（尼9：1-2）
『耶和华靠近伤心的人，拯救灵性痛悔的人』	（诗34：18）
『我所看顾的，就是虚心痛悔、因我话而战兢的人』	（赛66：2）
『穿麻衣，禁食，刻苦己心』	（诗35：13）
『我在亚哈瓦河边宣告禁食，为要在我们神面前克苦己心，求他使我们和妇人孩子，并一切所有的，都得平坦的道路』	（拉8：21）
『有敬虔的外貌，却背了敬虔的实意；这等人你要躲开』	（提后3：5）
